primary_type,date,latitude,longitude
CRIMINAL DAMAGE,2025-03-16 16:00:00,41.744818065,-87.606267424
OTHER OFFENSE,2025-03-16 15:51:00,41.903723642,-87.688276949
THEFT,2025-03-16 15:47:00,41.928668419,-87.714657541
BATTERY,2025-03-16 15:45:00,41.803086957,-87.743033722
OTHER OFFENSE,2025-03-16 15:45:00,41.772245206,-87.623480901
CRIMINAL TRESPASS,2025-03-16 15:45:00,41.853856172,-87.631803395
ASSAULT,2025-03-16 15:40:00,41.891070406,-87.616613661
NARCOTICS,2025-03-16 15:34:00,41.877258341,-87.71220141
BATTERY,2025-03-16 15:32:00,41.888081232,-87.628024615
NARCOTICS,2025-03-16 15:31:00,41.895215949,-87.734274564
BATTERY,2025-03-16 15:30:00,41.767441006,-87.575110601
BATTERY,2025-03-16 15:30:00,41.85102174,-87.618954852
BATTERY,2025-03-16 15:30:00,41.814471837,-87.743343717
BATTERY,2025-03-16 15:30:00,41.783917378,-87.613888694
BATTERY,2025-03-16 15:25:00,41.850657231,-87.612880723
BATTERY,2025-03-16 15:17:00,41.782951693,-87.615692426
BATTERY,2025-03-16 15:16:00,41.779273063,-87.676972155
CRIMINAL TRESPASS,2025-03-16 15:15:00,41.685389871,-87.616320016
THEFT,2025-03-16 15:13:00,41.903605704,-87.690735667
OTHER OFFENSE,2025-03-16 15:10:00,41.783307683,-87.650227441
THEFT,2025-03-16 15:08:00,41.9593416,-87.711298287
THEFT,2025-03-16 15:07:00,41.684809877,-87.642147208
WEAPONS VIOLATION,2025-03-16 15:02:00,41.804996145,-87.606467715
THEFT,2025-03-16 15:00:00,41.716957365,-87.670636318
THEFT,2025-03-16 15:00:00,41.879248965,-87.696855018
CRIMINAL DAMAGE,2025-03-16 15:00:00,41.908430535,-87.638509526
MOTOR VEHICLE THEFT,2025-03-16 15:00:00,41.745885877,-87.549141673
CRIMINAL DAMAGE,2025-03-16 15:00:00,41.779655602,-87.738662045
OFFENSE INVOLVING CHILDREN,2025-03-16 15:00:00,41.696209685,-87.652233728
MOTOR VEHICLE THEFT,2025-03-16 15:00:00,41.722652534,-87.639602544
THEFT,2025-03-16 15:00:00,41.916893471,-87.644843903
MOTOR VEHICLE THEFT,2025-03-16 15:00:00,41.968427294,-87.71122829
THEFT,2025-03-16 14:59:00,41.939315143,-87.70942733
OTHER OFFENSE,2025-03-16 14:56:00,41.930017634,-87.725268802
BATTERY,2025-03-16 14:54:00,41.785601922,-87.688696028
OTHER OFFENSE,2025-03-16 14:49:00,41.930208454,-87.767426239
BATTERY,2025-03-16 14:48:00,41.976028796,-87.842595585
BATTERY,2025-03-16 14:45:00,41.96935108,-87.695046908
BATTERY,2025-03-16 14:43:00,41.715449614,-87.553298995
THEFT,2025-03-16 14:41:00,41.936298722,-87.731435128
OTHER OFFENSE,2025-03-16 14:36:00,41.941677196,-87.723595895
BATTERY,2025-03-16 14:20:00,41.73871998,-87.710401805
BATTERY,2025-03-16 14:15:00,41.838057753,-87.70484492
THEFT,2025-03-16 14:10:00,41.967333305,-87.71700095
CRIMINAL DAMAGE,2025-03-16 14:00:00,41.993563589,-87.67185789
THEFT,2025-03-16 14:00:00,41.720880947,-87.650808427
BURGLARY,2025-03-16 14:00:00,41.950918793,-87.796505332
THEFT,2025-03-16 14:00:00,41.776983359,-87.653216521
MOTOR VEHICLE THEFT,2025-03-16 14:00:00,41.730981965,-87.602485124
THEFT,2025-03-16 14:00:00,41.76015578,-87.556752911
OTHER OFFENSE,2025-03-16 14:00:00,41.707470396,-87.565711568
CRIMINAL DAMAGE,2025-03-16 14:00:00,41.976202314,-87.876667402
THEFT,2025-03-16 13:45:00,41.863406877,-87.710455868
ASSAULT,2025-03-16 13:45:00,41.782636759,-87.701298247
CRIMINAL DAMAGE,2025-03-16 13:45:00,41.968443218,-87.709106412
CRIMINAL DAMAGE,2025-03-16 13:45:00,41.774002671,-87.664840001
BURGLARY,2025-03-16 13:44:00,41.88296821,-87.69010155
ASSAULT,2025-03-16 13:42:00,41.930529297,-87.648938215
ASSAULT,2025-03-16 13:40:00,41.881847601,-87.641772074
OTHER OFFENSE,2025-03-16 13:39:00,41.736409029,-87.562410309
CRIMINAL DAMAGE,2025-03-16 13:30:00,41.877939091,-87.728689312
THEFT,2025-03-16 13:30:00,41.974861952,-87.890372151
MOTOR VEHICLE THEFT,2025-03-16 13:23:00,,
THEFT,2025-03-16 13:20:00,41.976182125,-87.876421145
CRIMINAL TRESPASS,2025-03-16 13:17:00,41.695682418,-87.613455866
THEFT,2025-03-16 13:09:00,41.892753031,-87.624193896
CRIMINAL DAMAGE,2025-03-16 13:00:00,41.759432839,-87.558202048
THEFT,2025-03-16 13:00:00,41.879235852,-87.624347038
ROBBERY,2025-03-16 13:00:00,41.884790951,-87.624469241
THEFT,2025-03-16 13:00:00,41.922686193,-87.769590876
THEFT,2025-03-16 13:00:00,41.947875587,-87.81565703
BURGLARY,2025-03-16 13:00:00,41.753363637,-87.647752417
THEFT,2025-03-16 13:00:00,41.941517082,-87.669018213
THEFT,2025-03-16 13:00:00,41.868080073,-87.632775022
THEFT,2025-03-16 12:56:00,42.016607113,-87.675302757
THEFT,2025-03-16 12:55:00,41.977020572,-87.659885503
