primary_type,date,latitude,longitude,temperature,humidity,wind_speed
NARCOTICS,2025-03-07 20:22:00,41.865035918,-87.643983468,0.97,72,0.45
BATTERY,2025-03-07 20:21:00,41.745640612,-87.580163873,0.97,72,0.45
BATTERY,2025-03-07 20:20:00,41.877493421,-87.760595391,0.97,72,0.45
ASSAULT,2025-03-07 20:20:00,41.896568854,-87.636063322,0.97,72,0.45
BATTERY,2025-03-07 20:19:00,41.885150434,-87.652125613,0.97,72,0.45
THEFT,2025-03-07 20:18:00,41.86821682,-87.6304532,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 20:10:00,41.866342973,-87.621618551,0.97,72,0.45
NARCOTICS,2025-03-07 20:07:00,41.798754469,-87.659851819,0.97,72,0.45
BATTERY,2025-03-07 20:05:00,41.972364558,-87.656304974,0.97,72,0.45
THEFT,2025-03-07 20:04:00,41.948131367,-87.649510899,0.97,72,0.45
THEFT,2025-03-07 20:03:00,41.939262335,-87.71335694,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 20:00:00,41.775314194,-87.703654131,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 20:00:00,41.78969653,-87.778051123,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 20:00:00,41.806495867,-87.621140619,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 20:00:00,41.736345248,-87.623198545,0.97,72,0.45
MOTOR VEHICLE THEFT,2025-03-07 20:00:00,41.761594639,-87.574955848,0.97,72,0.45
OFFENSE INVOLVING CHILDREN,2025-03-07 20:00:00,41.992680562,-87.700688526,0.97,72,0.45
THEFT,2025-03-07 20:00:00,41.677661758,-87.652872258,0.97,72,0.45
CRIMINAL DAMAGE,2025-03-07 20:00:00,41.805654056,-87.622136589,0.97,72,0.45
ROBBERY,2025-03-07 20:00:00,41.877268465,-87.711536692,0.97,72,0.45
THEFT,2025-03-07 20:00:00,41.721237281,-87.6262294,0.97,72,0.45
ASSAULT,2025-03-07 20:00:00,41.791753169,-87.64630572,0.97,72,0.45
